	subject	list	trial_type	position	item	text	span	scheme	story	trial
0	10	392	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	1
1	10	392	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	1
2	10	392	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	1
3	10	392	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	1
4	10	392	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	1
5	10	392	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	1
6	10	392	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	1
7	10	392	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	1
8	10	392	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	1
9	10	392	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	1
10	10	392	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	1
11	10	392	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	1
12	10	392	study	13	300	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	1
13	10	392	recall	1	288	['it was a hot , sunny day and rachel and her friend kaylie']	-1	original_sentences_SentenceBERT	Beach	1
14	10	392	recall	2	289	['decided it would be a good day to go to the beach .  ']	-1	original_sentences_SentenceBERT	Beach	1
15	10	392	recall	3	292	['there were people laying under beach umbrellas wearing wide brimmed hats .']	-1	original_sentences_SentenceBERT	Beach	1
16	10	392	recall	4	300	['rachael decided that she would like to lay down in the sun before going swimming .  ']	-1	original_sentences_SentenceBERT	Beach	1
17	10	392	recall	5	295	['kaylie dedcided to go for a swim .  ']	-1	original_sentences_SentenceBERT	Beach	1
18	10	392	recall	6	296	['a little girl in a light purple bathing suit with two floaties darted out in front of her followed closely by a boy in green shorts .  ']	-1	original_sentences_SentenceBERT	Beach	1
19	10	392	recall	7	297	['kaylie smiled to herself remembering long past beach days with her brothers .  ']	-1	original_sentences_SentenceBERT	Beach	1
20	10	392	recall	8	298	['she saw 4 teenagers flying paragliders .  ']	-1	original_sentences_SentenceBERT	Beach	1
21	10	393	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	2
22	10	393	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	2
23	10	393	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	2
24	10	393	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	2
25	10	393	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	2
26	10	393	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	2
27	10	393	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	2
28	10	393	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	2
29	10	393	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	2
30	10	393	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	2
31	10	393	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	2
32	10	393	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	2
33	10	393	study	13	300	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	2
34	10	393	recall	1	288	['it was a hot and sunny day and kaylie and rachel decided to take advantage of their day off and go to the old orchard beach in maine .  ']	-1	original_sentences_SentenceBERT	Beach	2
35	10	393	recall	2	289	['the sun was a hot yellow pellet in the sky as the drove towards the beach .  ']	-1	original_sentences_SentenceBERT	Beach	2
36	10	393	recall	3	292	['there were people under umbrellas and also people wearing wide brimmed hats .  ']	-1	original_sentences_SentenceBERT	Beach	2
37	10	393	recall	4	293	['little kids were building sandcastles and decorating them with smooth shells .  ']	-1	original_sentences_SentenceBERT	Beach	2
38	10	393	recall	5	300	['kaylie decided she wanted to lay down before going into the ocean .  ']	-1	original_sentences_SentenceBERT	Beach	2
39	10	393	recall	6	296	['a little girl with freckles who was wearing a light purple bathing suit with floatys darted out in front of her followed by a little boy in green shorts .  ']	-1	original_sentences_SentenceBERT	Beach	2
40	10	393	recall	7	297	['rachel smiled to herself thinking of the long past memories of her beach days with her brothers .  ']	-1	original_sentences_SentenceBERT	Beach	2
41	10	393	recall	8	298	['she saw a group of 4 teenagers playing with gliders .  ']	-1	original_sentences_SentenceBERT	Beach	2
42	10	393	recall	9	299	['she thought about what perfect day this was .']	-1	original_sentences_SentenceBERT	Beach	2
43	10	394	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	3
44	10	394	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	3
45	10	394	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	3
46	10	394	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	3
47	10	394	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	3
48	10	394	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	3
49	10	394	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	3
50	10	394	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	3
51	10	394	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	3
52	10	394	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	3
53	10	394	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	3
54	10	394	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	3
55	10	394	study	13	300	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	3
56	10	394	recall	1	288	['one summer day my friend and i decided to take advantage of our day off by going to the beach in maine .  ']	-1	original_sentences_SentenceBERT	Beach	3
57	10	394	recall	2	291	['when we arrived at the beach we saw a lot of people under umbrellas , children playing , and people swimming .  ']	-1	original_sentences_SentenceBERT	Beach	3
58	10	394	recall	3	300	['my friend decided she wanted to lay out before she went swimming .  ']	-1	original_sentences_SentenceBERT	Beach	3
59	10	394	recall	4	295	['while walking to the shore i was cut off by a little girl with freckles in a lavender bathing suit being chased by a little boy .  ']	-1	original_sentences_SentenceBERT	Beach	3
60	10	394	recall	5	297	['i smiled thinking about past beach memories with my own brothers .  ']	-1	original_sentences_SentenceBERT	Beach	3
61	10	394	recall	6	298	['i watched as teenagers flew kites .  ']	-1	original_sentences_SentenceBERT	Beach	3
62	10	394	recall	7	293	['when i was done swimming i decided to lay out with my friend .  ']	-1	original_sentences_SentenceBERT	Beach	3
63	10	394	recall	8	294	['it truly was a beautiful day .']	-1	original_sentences_SentenceBERT	Beach	3
64	11	395	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	1
65	11	395	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	1
66	11	395	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	1
67	11	395	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	1
68	11	395	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	1
69	11	395	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	1
70	11	395	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	1
71	11	395	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	1
72	11	395	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	1
73	11	395	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	1
74	11	395	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	1
75	11	395	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	1
76	11	395	study	13	300	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	1
77	11	395	recall	1	288	['it was a hot sunny day and kaylie and rachel decided to take advantage and head out to the beach .']	-1	original_sentences_SentenceBERT	Beach	1
78	11	395	recall	2	289	['the sun was a bright orange ball in the sky .']	-1	original_sentences_SentenceBERT	Beach	1
79	11	395	recall	3	293	['as they came up to the beach , they grabbed their towels and decided to lay out for a while .']	-1	original_sentences_SentenceBERT	Beach	1
80	11	395	recall	4	294	['the clear blue water looked like a million crystals glistening in the sun .']	-1	original_sentences_SentenceBERT	Beach	1
81	11	395	recall	5	291	['the beach was full of boys and girls playing in the water and many other people laying out on the sand .']	-1	original_sentences_SentenceBERT	Beach	1
82	11	395	recall	6	300	['kaylie put her towel down and sat on top of it .']	-1	original_sentences_SentenceBERT	Beach	1
83	11	395	recall	7	296	['soon a boy wearing blue shorts ran by her followed by a girl wearing a green bathing suit .']	-1	original_sentences_SentenceBERT	Beach	1
84	11	395	recall	8	297	"[""rachel sat back and remembered how she used to spend the summer 's with her brothers on the beach passing the time .""]"	-1	original_sentences_SentenceBERT	Beach	1
85	11	395	recall	9	299	['as she thought back to those memories , she relished the fact that she could relax and not think about work , but just enjoy her time anxiety free .']	-1	original_sentences_SentenceBERT	Beach	1
86	11	396	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	2
87	11	396	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	2
88	11	396	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	2
89	11	396	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	2
90	11	396	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	2
91	11	396	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	2
92	11	396	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	2
93	11	396	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	2
94	11	396	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	2
95	11	396	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	2
96	11	396	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	2
97	11	396	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	2
98	11	396	study	13	300	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	2
99	11	396	recall	1	288	['it was a hot sunny day at the beach and kaylie and rachel decided to take advantage of an off day and head down to the beach .']	-1	original_sentences_SentenceBERT	Beach	2
100	11	396	recall	2	289	['the sun was an optimistic yellow pellet blistering in the sun .']	-1	original_sentences_SentenceBERT	Beach	2
101	11	396	recall	3	290	['they pulled into the parking lot and as they began to approach the shore line they saw the crystal clear water fading back into the blue horizon .']	-1	original_sentences_SentenceBERT	Beach	2
102	11	396	recall	4	291	['the beach was swarming with people in the ocean and sitting on the beach on pink , blue , yellow and white towels .']	-1	original_sentences_SentenceBERT	Beach	2
103	11	396	recall	5	293	['kaylie put her towel down and laid on the beach while rachel headed to the ocean to take a swim .']	-1	original_sentences_SentenceBERT	Beach	2
104	11	396	recall	6	296	['as she approached the water a little girl wearing a yellow and pick polka dotted bathing suit ran next to her followed by a boy in a green swimming suit .']	-1	original_sentences_SentenceBERT	Beach	2
105	11	396	recall	7	297	['rachel thought back on how she used to go to the beach with her brothers when she was younger .']	-1	original_sentences_SentenceBERT	Beach	2
106	11	396	recall	8	299	['she felt that this day was perfect and was happy that all of her anxieties were gone for the day .']	-1	original_sentences_SentenceBERT	Beach	2
107	11	396	recall	9	300	['she deciede to stay in the water for a little longer before finally heading back over to r']	-1	original_sentences_SentenceBERT	Beach	2
108	11	397	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	3
109	11	397	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	3
110	11	397	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	3
111	11	397	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	3
112	11	397	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	3
113	11	397	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	3
114	11	397	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	3
115	11	397	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	3
116	11	397	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	3
117	11	397	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	3
118	11	397	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	3
119	11	397	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	3
120	11	397	study	13	300	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	3
121	11	397	recall	1	288	['jennifer and denise had a day off from work and were excited to go to the beach .']	-1	original_sentences_SentenceBERT	Beach	3
122	11	397	recall	2	290	['as they entered the parking lot they could see the crystal blue water glimmering in the distance .']	-1	original_sentences_SentenceBERT	Beach	3
123	11	397	recall	3	291	['the beach was full of people laying on the sand and playing in the water .']	-1	original_sentences_SentenceBERT	Beach	3
124	11	397	recall	4	293	['jennifer decided to walk down to the water and denise laid out on her towel .']	-1	original_sentences_SentenceBERT	Beach	3
125	11	397	recall	5	289	['the sun was a beautiful   orange pellet hanging in the sky .']	-1	original_sentences_SentenceBERT	Beach	3
126	11	397	recall	6	295	['as jennifer stood by the water a girl wearing a yellow bathing suit ran past her followed by a boy wearing blue swim shorts .']	-1	original_sentences_SentenceBERT	Beach	3
127	11	397	recall	7	299	['denise laid on her blanket without a care in the world and thought about what a perfect day this was .']	-1	original_sentences_SentenceBERT	Beach	3
128	12	398	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	1
129	12	398	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	1
130	12	398	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	1
131	12	398	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	1
132	12	398	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	1
133	12	398	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	1
134	12	398	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	1
135	12	398	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	1
136	12	398	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	1
137	12	398	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	1
138	12	398	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	1
139	12	398	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	1
140	12	398	study	13	300	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	1
141	12	398	recall	1	288	['it was a hot sunny day and kaylie and rachel decided to take advantage of the day and go to the beach .']	-1	original_sentences_SentenceBERT	Beach	1
142	12	398	recall	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they made their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	1
143	12	398	recall	3	290	['once they arrived in the parking lot , they spotted the crystal clear sky that faded into a nice deep blue in the sky .']	-1	original_sentences_SentenceBERT	Beach	1
144	12	398	recall	4	292	['there were lots of people at the beach , in a variety of beach towels .']	-1	original_sentences_SentenceBERT	Beach	1
145	12	398	recall	5	293	['children were decorating , round , smooth seashells and kaylie decided to take a nap on her towel and rachel wanted to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	1
146	12	398	recall	6	295	['just before making it to the surf , rachel saw a little girl with freckles in a purple bathing suit with yellow little floaties on her arm .']	-1	original_sentences_SentenceBERT	Beach	1
147	12	398	recall	7	296	['the girl ran in front of rachel , followed closely behind by a boy in green swim shorts .']	-1	original_sentences_SentenceBERT	Beach	1
148	12	398	recall	8	297	['rachel smiled as she thought of her own beach days wit her brothers .']	-1	original_sentences_SentenceBERT	Beach	1
149	12	398	recall	9	298	['she spent some time on the water , looked up and saw 4 teens with colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	1
150	12	398	recall	10	299	"[""she thought to herself how perfect the day had been and after a bit and how she 'd gotten to forget all her worries and went to go join kaylie .""]"	-1	original_sentences_SentenceBERT	Beach	1
151	12	399	study	1	288	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	2
152	12	399	study	2	289	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	2
153	12	399	study	3	290	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	2
154	12	399	study	4	291	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	2
155	12	399	study	5	292	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	2
156	12	399	study	6	293	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	2
157	12	399	study	7	294	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	2
158	12	399	study	8	295	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	2
159	12	399	study	9	296	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	2
160	12	399	study	10	297	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	2
161	12	399	study	11	298	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	2
162	12	399	study	12	299	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	2
