	subject	list	trial_type	position	item	text	span	scheme	story	trial
0	10	0	study	1	0	It was a hot, sunny day 	[0, 24]	human	Beach	1
1	10	0	study	2	1	and Kaylie and Rachel 	[24, 46]	human	Beach	1
2	10	0	study	3	2	decided to take advantage of their off day 	[46, 89]	human	Beach	1
3	10	0	study	4	3	and take a trip to the beach. 	[89, 119]	human	Beach	1
4	10	0	study	5	4	The sun was an optimistic yellow pellet, 	[119, 160]	human	Beach	1
5	10	0	study	6	5	blistering in the sky as they were on their way 	[160, 208]	human	Beach	1
6	10	0	study	7	6	to Old Orchard Beach 	[208, 229]	human	Beach	1
7	10	0	study	8	7	in Maine. 	[229, 239]	human	Beach	1
8	10	0	study	9	8	Once arriving and walking from the parking lot, 	[239, 287]	human	Beach	1
9	10	0	study	10	9	they spotted the crystal clear water 	[287, 324]	human	Beach	1
10	10	0	study	11	10	that faded into a deep blue on the horizon.	[324, 367]	human	Beach	1
11	10	0	study	12	11	The beach was swarming with people. 	[367, 403]	human	Beach	1
12	10	0	study	13	12	Some on yellow, orange, white, and pink towels, 	[403, 451]	human	Beach	1
13	10	0	study	14	13	while others were seen stretched out on lounge chairs 	[451, 505]	human	Beach	1
14	10	0	study	15	14	with broad-brimmed hats 	[505, 529]	human	Beach	1
15	10	0	study	16	15	shading their eyes from the rays of the sun. 	[529, 574]	human	Beach	1
16	10	0	study	17	16	Children were decorating sandcastles with smooth, round seashells, 	[574, 641]	human	Beach	1
17	10	0	study	18	17	and Kaylie decided to stretch out on her towel 	[641, 688]	human	Beach	1
18	10	0	study	19	18	in the sand for a quick nap 	[688, 716]	human	Beach	1
19	10	0	study	20	19	while Rachel went to cool off in the ocean. 	[716, 760]	human	Beach	1
20	10	0	study	21	20	The sun shined on the water, 	[760, 789]	human	Beach	1
21	10	0	study	22	21	causing it to look like a million little crystals. 	[789, 840]	human	Beach	1
22	10	0	study	23	22	Just before making it to the surf, 	[840, 875]	human	Beach	1
23	10	0	study	24	23	Rachel saw a little girl with freckles 	[875, 914]	human	Beach	1
24	10	0	study	25	24	in a light purple bathing suit 	[914, 945]	human	Beach	1
25	10	0	study	26	25	and little yellow floaties on her arms. 	[945, 985]	human	Beach	1
26	10	0	study	27	26	The girl darted in front of Rachel, 	[985, 1021]	human	Beach	1
27	10	0	study	28	27	closely followed by a boy 	[1021, 1047]	human	Beach	1
28	10	0	study	29	28	in green swimming shorts. 	[1047, 1073]	human	Beach	1
29	10	0	study	30	29	Rachel smiled as she reminisced on memories of beach days 	[1073, 1131]	human	Beach	1
30	10	0	study	31	30	with her brothers. 	[1131, 1150]	human	Beach	1
31	10	0	study	32	31	After spending some time in the water, 	[1150, 1189]	human	Beach	1
32	10	0	study	33	32	she looked up and	[1189, 1206]	human	Beach	1
33	10	0	study	34	33	saw four teenagers 	[1206, 1225]	human	Beach	1
34	10	0	study	35	34	flying colorful paragliders. 	[1225, 1254]	human	Beach	1
35	10	0	study	36	35	She thought to herself that the day was truly perfect, 	[1254, 1309]	human	Beach	1
