	subject	list	trial_type	position	item	text	span	scheme	story	trial
0	10	392	study	1	3785	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	1
1	10	392	study	2	3786	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	1
2	10	392	study	3	3787	['once arriving and walking from the parking lot , they spotted the crystal clear water that faded into a deep blue on the horizon .']	-1	original_sentences_SentenceBERT	Beach	1
3	10	392	study	4	3788	['the beach was swarming with people .']	-1	original_sentences_SentenceBERT	Beach	1
4	10	392	study	5	3789	['some on yellow , orange , white , and pink towels , while others were seen stretched out on lounge chairs with broad - brimmed hats shading their eyes from the rays of the sun .']	-1	original_sentences_SentenceBERT	Beach	1
5	10	392	study	6	3790	['children were decorating sandcastles with smooth , round seashells , and kaylie decided to stretch out on her towel in the sand for a quick nap while rachel went to cool off in the ocean .']	-1	original_sentences_SentenceBERT	Beach	1
6	10	392	study	7	3791	['the sun shined on the water , causing it to look like a million little crystals .']	-1	original_sentences_SentenceBERT	Beach	1
7	10	392	study	8	3792	['just before making it to the surf , rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms .']	-1	original_sentences_SentenceBERT	Beach	1
8	10	392	study	9	3793	['the girl darted in front of rachel , closely followed by a boy in green swimming shorts .']	-1	original_sentences_SentenceBERT	Beach	1
9	10	392	study	10	3794	['rachel smiled as she reminisced on memories of beach days with her brothers .']	-1	original_sentences_SentenceBERT	Beach	1
10	10	392	study	11	3795	['after spending some time in the water , she looked up and saw four teenagers flying colorful paragliders .']	-1	original_sentences_SentenceBERT	Beach	1
11	10	392	study	12	3796	['she thought to herself that the day was truly perfect , and all anxieties from her daily life were absent for a while .']	-1	original_sentences_SentenceBERT	Beach	1
12	10	392	study	13	3797	['she closed her eyes for a few seconds to savor the moment before going to lie down next to kaylie in the warm sand .']	-1	original_sentences_SentenceBERT	Beach	1
13	10	392	recall	1	3785	['it was a hot , sunny day and rachel and her friend kaylie']	-1	original_sentences_SentenceBERT	Beach	1
14	10	392	recall	2	3786	['decided it would be a good day to go to the beach .  ']	-1	original_sentences_SentenceBERT	Beach	1
15	10	392	recall	3	3786	['they headed out to old orchard beach in maine .  ']	-1	original_sentences_SentenceBERT	Beach	1
16	10	392	recall	4	3786	['the sun looked like a hot , yellow pellet in the sky .   ']	-1	original_sentences_SentenceBERT	Beach	1
17	10	392	recall	5	3789	['there were people laying under beach umbrellas wearing wide brimmed hats .']	-1	original_sentences_SentenceBERT	Beach	1
18	10	392	recall	6	3797	['rachael decided that she would like to lay down in the sun before going swimming .  ']	-1	original_sentences_SentenceBERT	Beach	1
19	10	392	recall	7	3792	['kaylie dedcided to go for a swim .  ']	-1	original_sentences_SentenceBERT	Beach	1
20	10	392	recall	8	3793	['a little girl in a light purple bathing suit with two floaties darted out in front of her followed closely by a boy in green shorts .  ']	-1	original_sentences_SentenceBERT	Beach	1
21	10	392	recall	9	3794	['kaylie smiled to herself remembering long past beach days with her brothers .  ']	-1	original_sentences_SentenceBERT	Beach	1
22	10	392	recall	10	3795	['she saw 4 teenagers flying paragliders .  ']	-1	original_sentences_SentenceBERT	Beach	1
23	10	392	recall	11	3797	['she thought about this as she walked over to lay down next to rachel , thinking about what a perfect day this was turning out to be .']	-1	original_sentences_SentenceBERT	Beach	1
24	10	393	study	1	3785	['it was a hot , sunny day and kaylie and rachel decided to take advantage of their off day and take a trip to the beach .']	-1	original_sentences_SentenceBERT	Beach	2
25	10	393	study	2	3786	['the sun was an optimistic yellow pellet , blistering in the sky as they were on their way to old orchard beach in maine .']	-1	original_sentences_SentenceBERT	Beach	2
